@relation cleaned

@attribute finished_first_q1 numeric
@attribute finished_first_q2 numeric
@attribute dif_seconds_quali_first_second numeric
@attribute dif_seconds_quali_second_third numeric
@attribute dif_seconds_quali_third_fourth numeric
@attribute dif_seconds_qualif_fourth_fifth numeric
@attribute isAmericas numeric
@attribute isAustralia numeric
@attribute isEurope numeric
@attribute is_reigning_constructor_champion numeric
@attribute is_reigning_driver_champion numeric
@attribute driverAge numeric
@attribute hadRain numeric
@attribute avg_temp numeric
@attribute avg_humidity numeric
@attribute avg_visibility numeric
@attribute avg_pressure numeric
@attribute avg_wind_speed numeric
@attribute finishedFirst numeric

@data
0,1,0.141,0.366,0.609,0.024,0,0,0,0,0,8290,0,87.916667,35.291667,6.483333,1012.55,7.833333,0
1,1,0.116,0.076,0.564,0.162,0,0,0,0,0,8304,0,75.4,49.168333,10.466667,1009.616667,13.166667,0
0,0,1.346,0.116,0.125,0.087,0,0,0,0,0,12273,0,88.1,67.86,6.4,1007.6,8.783333,0
0,0,0.25,0.105,0.01,0.056,0,0,0,0,0,8325,0,67.35,73.275,6.8,1016.266667,15.633333,0
1,1,0.106,0.728,0.108,0.054,0,0,0,0,0,12308,0,66.35,61.245,6.5,1006.733333,8.6,1
0,0,0.294,0.107,0.056,0.149,0,0,0,0,0,12315,0,66.833333,58.085,19.216667,1008.916667,11.183333,1
0,0,0.138,0.327,0.021,0.076,0,0,0,0,0,12329,0,81.383333,45.446667,6.633333,1013.75,6.483333,0
1,1,0.268,0.047,0.015,0.085,0,0,0,0,0,9288,0,73.6,57.908333,12.166667,1013.533333,4.816667,1
1,1,0.075,0.307,0.106,0.052,0,0,0,0,0,8395,0,83.766667,28.681667,7.833333,1016.683333,8.583333,1
1,0,0.143,0.668,0.13,0.069,0,0,0,0,0,8409,0,71.666667,43.875,25.066667,1014.516667,9.583333,0
0,0,0.002,0.497,0.057,0.08,0,0,0,0,0,8423,0,67.8,58.096667,6.8,1016.983333,9.55,0
1,0,0.411,0.803,0.344,0.168,0,0,0,0,0,8430,0,83.133333,51.505,14,1015.766667,6.966667,0
0,0,0.085,0.237,0.027,0.079,0,0,0,0,0,12420,0,54.35,77.15,15.816667,1014.4,12.433333,0
0,1,0.122,0.209,0.14,0.19,0,0,0,0,0,10637,0,74.3,49.515,6.416667,1017.516667,3.883333,1
1,0,0.067,0.114,0.373,0.033,0,0,0,0,0,10651,0,84.733333,71.186667,6.566667,1009.116667,1.55,1
1,1,0.068,0.316,0.062,0.121,0,0,0,0,0,8500,1,75.666667,59.121667,24.916667,1007.983333,10.35,1
0,0,0.074,0.107,0.296,0.473,0,0,0,0,0,8514,0,66.283333,89.006667,4.833333,1011.4,3.916667,0
0,0,1.049,0.118,0.11,0.242,0,0,0,0,0,8481,0,76.516667,51.488333,7.25,1014.366667,7.366667,0
0,1,0.031,0.367,0.031,0.102,0,0,0,0,0,8535,0,83.366667,55.096667,6.183333,1012.783333,11.016667,1
1,1,0.778,0.088,0.384,0.195,0,0,0,1,1,8668,0,63.016667,64.803333,12.7,1025.616667,8.35,1
0,0,0.104,0.205,0.021,0.602,0,0,0,1,1,8682,1,82.683333,82.021667,6.266667,1009.75,4.4,1
0,0,0.715,0.042,0.207,0.449,0,0,0,1,1,8689,0,66.55,33.653333,6.75,1007.716667,8.75,0
1,1,0.405,0.12,0.021,0.256,0,0,0,1,1,8710,0,60.083333,50.283333,6.866667,1016.6,13.283333,1
0,0,0.2,0.78,0.003,0.032,0,0,0,0,0,12686,0,77.95,32.151667,7.483333,1020,7.75,0
0,1,0.441,0.022,0.464,0.199,0,0,0,1,1,8731,0,71.55,68.013333,19.1,1018.733333,5.95,1
0,0,0.185,0.018,0.212,0.136,0,0,0,1,1,8745,1,60.883333,91.288333,8.133333,1008.783333,4.783333,0
0,1,0.188,0.217,0.074,0.081,0,0,0,1,1,8759,0,84.783333,42.303333,10.333333,1020.6,10,1
1,0,0.032,0.085,0.608,0.774,0,0,0,0,0,12735,0,67.25,57.17,17.116667,1017.166667,5.066667,0
0,0,0.055,0.082,0.226,0.468,0,0,0,0,0,12749,1,53.766667,88.77,7.333333,1010.333333,11.433333,0
0,0,0.163,0.046,0.326,0.015,0,0,0,1,1,8794,1,63.066667,78.126667,10.616667,1011.2,11.383333,0
0,0,0.432,0.646,0.88,0.296,0,0,0,1,1,8822,0,56.733333,64.941667,22.266667,1018.4,12.183333,1
0,1,0.45,0.052,0.064,0.131,0,0,0,1,1,8836,0,82.6,53.026667,6.25,1015.6,4,1
1,1,0.351,0.072,0.005,0.065,0,0,0,1,1,8850,0,85.033333,75.526667,6.6,1009.5,4.833333,1
0,0,0.009,0.142,0.187,0.082,0,0,0,1,1,8864,0,71.283333,47.476667,11.766667,1022.933333,4.966667,0
1,1,0.222,0.084,0.342,0.363,0,0,0,0,0,9778,0,66.4,55.761667,8.183333,1012.2,12.866667,0
1,1,0.296,0.034,0.011,0.431,0,0,0,1,1,8885,0,83.733333,31.646667,1.316667,1010.233333,6.05,1
0,0,0.141,0.009,0.227,0.2,0,0,0,1,1,8899,0,78.366667,59.111667,6.2,1013.533333,7.083333,0
0,1,0.181,0.184,0.197,0.111,0,0,0,1,1,8913,0,75.5,65.545,6.716667,1015.5,8.95,0
0,0,0.152,0.228,0.034,0.315,0,0,0,0,0,9932,0,67.883333,62.433333,10.583333,1023.033333,11.866667,0
0,0,0.149,0.023,0.07,0,0,0,0,0,0,9939,0,81.833333,85.078333,5.666667,1008.9,7.683333,0
0,1,0.505,0.065,0.093,0.114,0,0,0,0,0,9789,0,67.133333,55.321667,6.883333,1010.75,4.883333,1
0,0,0.098,0.117,0.074,0.11,0,0,0,1,1,9060,0,80.166667,36.301667,5.4,1008.65,13.166667,1
0,1,0.578,0.017,0.122,0.063,0,0,0,0,0,9927,1,72.233333,65.791667,7.283333,1018.366667,9.6,1
0,0,0.08,0.067,0.135,0.056,0,0,0,0,0,13057,1,67.95,70.248333,12.016667,1017.433333,6.066667,1
1,1,0.303,0.064,0.195,0.065,0,0,0,1,1,9109,0,77.516667,33.19,12.616667,1018.683333,3.533333,0
0,0,0.324,0.065,0.03,0.008,0,0,0,1,1,9123,0,84.3,44.36,10.8,1020.1,12.2,0
0,0,0.047,0.227,0.179,0.866,0,0,0,0,0,11302,1,62.766667,79.706667,11.85,1006.1,7.933333,0
1,0,0.405,0.47,0.963,1.042,0,0,0,0,0,11316,0,66.6,45.83,6.8,1027.7,5.983333,1
1,1,0.413,0.05,0.167,0.147,0,0,0,0,0,10065,1,87.266667,48.79,13.55,1009.433333,5.083333,1
0,1,0.298,0.022,0.312,0.014,0,0,0,0,0,11915,0,64.033333,51.261667,19.25,1024.566667,6.05,1
1,0,0.123,0.114,0.057,0.236,0,0,0,0,0,10107,0,81.8,44.685,6.3,1017.766667,3.316667,1
0,1,0.442,0.101,0.034,0.277,0,0,0,0,0,10121,0,84.416667,75.376667,4.866667,1009.1,4.666667,0
0,1,0.251,0.2,0.41,0.198,0,0,0,1,1,9228,0,75.383333,49.711667,12.4,1014.683333,9.283333,1
0,0,0.074,0.153,0.065,0.091,0,0,0,0,0,13197,0,70.05,68.703333,5.25,1018.033333,10.233333,0
1,1,0.044,0.217,0.115,0.114,0,0,0,1,1,9249,0,81.85,32.803333,0.75,1014.04,4.683333,1
1,1,0.348,0.095,0.153,0.034,0,0,0,0,0,10163,0,85.6,52.87,6.283333,1012.266667,12.833333,0
1,1,0.109,0.408,0.413,0.121,0,0,0,1,1,9270,0,71.35,40.193333,9.9,1023.333333,9.366667,0
1,0,0.055,0.068,0.179,0.227,0,0,0,0,0,10184,0,67.516667,76.671667,4.816667,1017.116667,12.033333,0
0,0,0.42,0.26,0.403,0.003,0,0,0,1,1,9389,0,60.366667,53.483333,10.533333,1023.566667,16,0
0,0,0.913,0.14,0.972,0.545,0,0,0,1,1,9396,1,86.866667,70.14,6.333333,1006.55,5.55,1
1,1,0.277,0.027,0.073,0.072,0,0,0,0,0,10324,0,72.316667,43.87,6.016667,1010.05,16.483333,0
0,0,0.254,0.083,0.095,0.316,0,0,0,0,0,10160,0,83.483333,42.285,5.85,1003.6,20.483333,0
0,0,0.254,0.082,0.123,0.041,0,0,0,0,0,10181,0,64.783333,59.868333,7,1020.55,9.033333,0
0,0,0.091,0.013,0.201,0.641,0,0,0,0,0,10195,0,62.466667,52.398333,21.916667,1012.7,9.2,1
1,0,0.087,0.385,0.111,0.2,0,0,0,1,1,9473,0,71.8,52.345,12.616667,1018,6.75,1
1,0,0.452,0.152,0.009,0.516,0,0,0,0,0,10401,0,68.833333,65.185,16.683333,1020.6,12.166667,0
0,0,0.103,0.107,0.284,0.067,0,0,0,0,0,10408,0,75.633333,47.646667,9.566667,1027.816667,12.116667,0
0,0,0.038,0.169,0.125,0.071,0,0,0,0,0,10429,0,95.516667,25.016667,18.083333,1014.216667,9.333333,1
1,0,0.188,0.125,0.926,0.081,0,0,0,0,0,10457,0,60.716667,77.81,16.816667,1012.5,4.683333,0
1,1,0.213,0.097,0.067,0.01,0,0,0,1,1,9564,1,73.116667,73.985,6.183333,1018.366667,8.85,1
0,1,0.091,0.126,0.094,0.102,0,0,0,1,1,9578,0,85.066667,70.201667,6.283333,1008.05,8.816667,1
0,1,0.218,0.044,0.067,0.148,0,0,0,1,1,9592,0,77.75,73.055,7.9,1019.25,8.066667,1
0,0,0.174,0.164,0.112,0.013,0,0,0,0,0,13561,0,73.9,40.978333,13.25,1018.483333,9.016667,0
0,1,0.752,0.07,0.106,0.154,0,0,0,1,1,9613,0,83.4,38.975,1.366667,1009.733333,5.916667,1
0,0,0.118,0.344,0.082,0.041,0,0,0,0,0,13582,0,89.783333,44.783333,6.2,1011.916667,7.9,0
0,1,0.103,0.714,0.141,0.049,0,0,0,1,1,9634,0,84.583333,55.506667,9.883333,1009.4,5.716667,1
0,1,0.623,0.437,0.033,0.105,0,0,0,1,1,9641,0,69.4,79.761667,5.25,1018.016667,11.233333,1
0,0,0.317,0.047,1.15,0.074,0,0,0,0,0,10660,1,64.383333,43.163333,7.766667,1006.6,15.716667,0
0,1,0.055,0.564,0.125,0.366,0,0,0,0,0,10674,0,89.316667,63.29,5.7,1005.933333,7.483333,1
0,1,0.279,0.587,0.196,0.099,0,0,0,0,0,10510,0,75.083333,35.213333,6.65,1017.366667,14.15,0
1,1,0.595,0.505,0.183,0.494,0,0,0,0,0,10695,1,61.5,68.48,6.416667,1016.316667,8.766667,1
0,0,0.168,0.885,0.347,0.328,0,0,0,0,0,10716,0,72.566667,54.745,7.133333,1016.1,11.366667,1
1,0,0.059,0.336,0.163,0.139,0,0,0,0,0,10559,0,67.066667,58.733333,20.166667,1016.883333,6.133333,1
0,0,0.079,0.595,0.002,0.028,0,0,0,0,0,10573,0,80.466667,38.528333,12.616667,1011.433333,6.9,0
0,0,0.087,0.098,0.341,0.181,0,0,0,0,0,12111,0,76.933333,32.725,22.733333,1015.366667,5.216667,0
1,1,1.62,0.814,0.129,0.088,0,0,0,0,0,10601,0,64.633333,51.755,23.4,1004.483333,8.966667,0
1,1,0.219,0.319,0.136,0.059,0,0,0,0,0,10615,0,76.316667,62.538333,6.2,1010.8,5.783333,1
1,1,0.486,0.153,0.037,0.518,0,0,0,0,0,10622,1,76.75,70.15,8.25,1012.833333,6.383333,0
1,0,0.228,1.898,0.069,0.125,0,0,0,0,0,10650,0,56.8,62.743333,18.333333,1019.5,8.583333,0
1,1,0.274,0.314,0.168,0.449,0,0,0,0,0,10835,0,75.566667,63.855,6.2,1013.45,4.15,1
0,0,0.007,0.166,0.048,0.005,0,0,0,0,0,10849,0,85.083333,66.093333,3.516667,1010.9,5.266667,1
0,1,0.197,0.425,0.399,0.213,0,0,0,0,0,10692,1,66.75,95.048333,4.2,1012.3,2.883333,0
1,1,0.2,0.207,0.201,0.156,0,0,0,0,0,10870,0,70.283333,60.863333,7.3,1015.766667,6.516667,1
0,1,0.376,0.463,0.299,0.039,0,0,0,0,0,10720,0,73.666667,42.213333,9.9,1022.616667,15.083333,0
1,1,0.033,0.191,0.058,0.625,0,0,0,0,0,10727,0,74.95,58.273333,6.6,1016.333333,12.316667,1
0,0,-0.159,-0.094,-0.789,0,0,0,0,0,0,10741,0,79.95,65.045,5.4,1012.35,7.85,0
1,1,0.594,0.797,0.039,0.033,0,0,0,1,1,11024,0,62.966667,56.978333,6.2,1016.9,13.516667,1
1,0,0.074,0.391,1.242,0.41,0,0,0,1,1,11038,0,91.583333,59.128333,6.2,1007.95,7.083333,0
0,1,0.046,0.859,0.267,0.189,0,0,0,1,1,11052,0,68.683333,41.071667,7.05,1016.866667,8.2,1
1,1,0.411,0.147,0.098,0.154,0,0,0,1,1,11059,0,77.866667,37.443333,6.366667,1011,15.35,1
0,1,0.267,0.51,0.236,0.442,0,0,0,0,0,10909,0,80.816667,43.633333,7.15,1023.233333,9.25,1
0,0,0.342,0.409,0.192,0.141,0,0,0,1,1,11094,0,66.433333,62.323333,17.533333,1015.6,7.233333,0
0,1,0.309,0.312,0.088,0.092,0,0,0,1,1,11108,0,69.35,30.838333,12.616667,1017.183333,4.816667,1
0,0,0.2,0.155,0.382,0.086,0,0,0,1,1,11122,0,58.233333,48.925,22.733333,1018.033333,3.583333,0
0,0,0.113,0.724,0.064,0.23,0,0,0,1,1,11136,0,64.933333,61.728333,18.433333,1015.966667,8.066667,1
1,1,0.575,0.144,0.035,0.246,0,0,0,1,1,11157,0,75.166667,36.78,43.5,1013.25,11.383333,0
1,0,0.458,0.882,0.024,0.038,0,0,0,1,1,11185,0,71.566667,43.806667,8.066667,1004.716667,15.6,1
1,1,0.234,0.054,0.018,0.237,0,0,0,1,1,11199,0,70.216667,39.636667,6.2,1017.516667,4.133333,1
0,1,0.543,0.239,0.078,0.555,0,0,0,0,0,10306,0,86,72.358333,4.95,1008.95,4.633333,1
0,1,0.076,0.364,0.221,0.092,0,0,0,0,0,11049,0,80.116667,55.078333,12.8,1011.183333,7.333333,0
