finished_first_q1,finished_first_q2,dif_seconds_quali_first_second,dif_seconds_quali_second_third,dif_seconds_quali_third_fourth,dif_seconds_qualif_fourth_fifth,isAmericas,isAustralia,isEurope,is_reigning_constructor_champion,is_reigning_driver_champion,driverAge,hadRain,avg_temp,avg_humidity,avg_pressure,avg_wind_speed,constructorPositionPreRace,driverPositionPreRace,is_leader_25_percent_through,is_leader_50_percent_through,finishedFirst
0,1,0.14099999999999113,0.36600000000001387,0.6089999999999947,0.02400000000000091,0,0,0,0.0,0.0,8290,0,87.91666666666667,35.291666666666664,1012.5500000000001,7.833333333333333,1.0,1.0,1,1,0
1,1,0.11599999999999966,0.07600000000000762,0.563999999999993,0.16200000000000614,0,1,0,0.0,0.0,8304,0,75.39999999999999,49.16833333333333,1009.6166666666667,13.166666666666666,4.0,4.0,1,0,0
0,0,1.3460000000000036,0.11599999999999966,0.125,0.0870000000000033,0,0,0,0.0,0.0,12273,0,88.10000000000001,67.86,1007.6,8.783333333333333,5.0,10.0,0,0,0
0,0,0.25,0.10500000000000398,0.010000000000005116,0.055999999999997385,0,0,0,0.0,0.0,8325,0,67.35000000000001,73.27499999999999,1016.2666666666668,15.633333333333333,3.0,3.0,0,0,0
1,1,0.10599999999999454,0.7280000000000086,0.10799999999998988,0.054000000000002046,0,0,1,0.0,0.0,12308,0,66.35000000000001,61.245000000000005,1006.7333333333332,8.6,3.0,8.0,1,1,1
0,0,0.29400000000001114,0.10699999999999932,0.055999999999997385,0.1490000000000009,0,0,1,0.0,0.0,12315,0,66.83333333333333,58.085,1008.9166666666666,11.183333333333332,3.0,4.0,1,1,1
0,0,0.13799999999999102,0.3270000000000124,0.021000000000000796,0.0759999999999934,0,0,0,0.0,0.0,12329,0,81.38333333333334,45.446666666666665,1013.75,6.483333333333333,1.0,1.0,1,1,0
1,1,0.2680000000000007,0.046999999999997044,0.015000000000000568,0.08499999999999375,1,0,0,0.0,0.0,9288,0,73.60000000000001,57.90833333333333,1013.5333333333333,4.816666666666667,1.0,3.0,1,0,1
1,1,0.07500000000000284,0.30699999999998795,0.10600000000000875,0.05200000000000671,0,0,1,0.0,0.0,8395,0,83.76666666666667,28.68166666666667,1016.6833333333334,8.583333333333334,2.0,5.0,1,1,1
1,0,0.14300000000000068,0.6680000000000064,0.12999999999999545,0.06900000000000261,0,0,1,0.0,0.0,8409,0,71.66666666666667,43.875,1014.5166666666668,9.583333333333334,2.0,3.0,0,0,0
0,0,0.0020000000000095497,0.4969999999999857,0.05700000000000216,0.0799999999999983,0,0,1,0.0,0.0,8423,0,67.8,58.096666666666664,1016.9833333333332,9.549999999999999,2.0,4.0,0,0,0
1,0,0.41100000000000136,0.8029999999999973,0.3440000000000083,0.16799999999999216,0,0,1,0.0,0.0,8430,0,83.13333333333334,51.504999999999995,1015.7666666666668,6.966666666666666,2.0,4.0,0,0,0
0,0,0.08500000000000796,0.23699999999999477,0.027000000000015234,0.07899999999999352,0,0,1,0.0,0.0,12420,0,54.35,77.14999999999999,1014.4,12.433333333333332,1.0,1.0,0,0,0
0,1,0.12199999999999989,0.20900000000000318,0.13999999999998636,0.19000000000001194,0,0,1,0.0,0.0,10637,0,74.3,49.51499999999999,1017.5166666666668,3.8833333333333333,3.0,5.0,0,0,1
1,0,0.06699999999999307,0.11400000000000432,0.37300000000000466,0.03300000000000125,0,0,0,0.0,0.0,10651,0,84.73333333333333,71.18666666666667,1009.1166666666667,1.55,3.0,3.0,1,1,1
1,1,0.06800000000001205,0.3159999999999883,0.06199999999999761,0.12100000000000932,0,0,0,0.0,0.0,8500,1,75.66666666666667,59.12166666666667,1007.9833333333332,10.35,1.0,4.0,1,0,1
0,0,0.07399999999998386,0.10699999999999932,0.2960000000000065,0.472999999999999,0,0,0,0.0,0.0,8514,0,66.28333333333333,89.00666666666666,1011.4,3.9166666666666665,1.0,3.0,1,1,0
0,0,1.0490000000000066,0.117999999999995,0.10999999999999943,0.24200000000000443,1,0,0,0.0,0.0,8481,0,76.51666666666667,51.48833333333334,1014.3666666666667,7.366666666666667,7.0,15.0,0,0,0
0,1,0.0309999999999917,0.36700000000000443,0.03100000000000591,0.10199999999998965,0,0,0,0.0,0.0,8535,0,83.36666666666666,55.096666666666664,1012.7833333333333,11.016666666666666,1.0,3.0,1,0,1
1,1,0.7780000000000058,0.08799999999999386,0.38400000000000034,0.1950000000000074,0,1,0,1.0,1.0,8668,0,63.01666666666667,64.80333333333333,1025.6166666666666,8.35,1.0,1.0,0,1,1
0,0,0.103999999999985,0.2050000000000125,0.021000000000000796,0.6019999999999897,0,0,0,1.0,1.0,8682,1,82.68333333333334,82.02166666666666,1009.75,4.3999999999999995,1.0,1.0,0,1,1
0,0,0.7149999999999892,0.04200000000000159,0.20700000000000784,0.44899999999999807,0,0,0,1.0,1.0,8689,0,66.55,33.65333333333333,1007.7166666666667,8.75,1.0,1.0,0,1,0
1,1,0.40500000000000114,0.11999999999999034,0.021000000000000796,0.2560000000000002,0,0,0,1.0,1.0,8710,0,60.083333333333336,50.28333333333333,1016.6,13.283333333333333,1.0,1.0,1,1,1
0,0,0.20000000000000284,0.7800000000000011,0.0030000000000001137,0.031999999999996476,0,0,1,0.0,0.0,12686,0,77.95,32.151666666666664,1020.0,7.75,1.0,3.0,0,0,0
0,1,0.4410000000000025,0.02200000000000557,0.46399999999999864,0.19899999999999807,0,0,1,1.0,1.0,8731,0,71.55,68.01333333333334,1018.7333333333332,5.95,1.0,1.0,0,1,1
0,0,0.18500000000000227,0.018000000000000682,0.2120000000000033,0.13599999999999568,1,0,0,1.0,1.0,8745,1,60.88333333333333,91.28833333333334,1008.7833333333333,4.783333333333333,1.0,1.0,1,1,0
0,1,0.1880000000000024,0.21699999999999875,0.07400000000001228,0.08099999999998886,0,0,1,1.0,1.0,8759,0,84.78333333333333,42.303333333333335,1020.6,10.0,1.0,1.0,0,1,1
1,0,0.031999999999996476,0.08499999999999375,0.6080000000000041,0.7740000000000009,0,0,1,0.0,0.0,12735,0,67.25,57.169999999999995,1017.1666666666666,5.066666666666666,1.0,3.0,0,0,0
0,0,0.05499999999999261,0.08200000000000784,0.2259999999999991,0.4679999999999893,0,0,1,0.0,0.0,12749,1,53.76666666666667,88.77,1010.3333333333334,11.433333333333332,1.0,2.0,0,0,0
0,0,0.16300000000001091,0.04599999999999227,0.3259999999999934,0.015000000000000568,0,0,1,1.0,1.0,8794,1,63.06666666666666,78.12666666666667,1011.1999999999999,11.383333333333333,1.0,1.0,0,0,0
0,0,0.43199999999998795,0.646000000000015,0.8799999999999955,0.29599999999999227,0,0,1,1.0,1.0,8822,0,56.73333333333333,64.94166666666666,1018.4,12.183333333333332,1.0,1.0,1,1,1
0,1,0.44999999999998863,0.05200000000000671,0.06400000000000716,0.13100000000000023,0,0,1,1.0,1.0,8836,0,82.60000000000001,53.02666666666667,1015.6,4.0,1.0,1.0,1,1,1
1,1,0.3509999999999991,0.07200000000000273,0.0049999999999954525,0.06499999999999773,0,0,0,1.0,1.0,8850,0,85.03333333333335,75.52666666666666,1009.5,4.833333333333333,1.0,1.0,1,1,1
0,0,0.00899999999998613,0.14200000000001012,0.1869999999999976,0.08199999999999363,0,0,0,1.0,1.0,8864,0,71.28333333333335,47.47666666666667,1022.9333333333334,4.966666666666666,1.0,1.0,1,0,0
1,1,0.2220000000000084,0.08400000000000318,0.34199999999999875,0.36299999999999955,0,0,0,0.0,0.0,9778,0,66.39999999999999,55.76166666666666,1012.1999999999999,12.866666666666667,2.0,5.0,0,0,0
1,1,0.2960000000000065,0.033999999999991815,0.01100000000000989,0.4309999999999974,0,0,0,1.0,1.0,8885,0,83.73333333333333,31.646666666666665,1010.2333333333332,6.05,1.0,1.0,1,1,1
0,0,0.14100000000000534,0.009000000000000341,0.22700000000000387,0.19999999999998863,0,0,0,1.0,1.0,8899,0,78.36666666666666,59.11166666666667,1013.5333333333333,7.083333333333333,1.0,1.0,0,0,0
0,1,0.18099999999999739,0.1839999999999975,0.19700000000000273,0.11099999999999,1,0,0,1.0,1.0,8913,0,75.5,65.545,1015.5,8.950000000000001,1.0,1.0,0,0,0
0,0,0.15200000000000102,0.22799999999999443,0.034000000000006025,0.3149999999999977,0,1,0,0.0,0.0,9932,0,67.88333333333334,62.43333333333334,1023.0333333333333,11.866666666666667,2.0,5.0,0,0,0
0,0,0.1490000000000009,0.022999999999996135,0.07000000000000739,0.0,0,0,0,0.0,0.0,9939,0,81.83333333333333,85.07833333333333,1008.9,7.683333333333334,1.0,3.0,0,0,0
0,1,0.5049999999999955,0.06499999999999773,0.09299999999998931,0.11400000000000432,0,0,0,0.0,0.0,9789,0,67.13333333333334,55.321666666666665,1010.75,4.883333333333334,9.0,15.0,0,1,1
0,0,0.09800000000001319,0.11699999999999022,0.07399999999999807,0.10999999999999943,0,0,0,1.0,1.0,9060,0,80.16666666666667,36.30166666666667,1008.65,13.166666666666666,2.0,5.0,1,1,1
0,1,0.578000000000003,0.016999999999995907,0.1220000000000141,0.06299999999998818,0,0,1,0.0,0.0,9927,1,72.23333333333333,65.79166666666667,1018.3666666666667,9.6,7.0,14.0,0,1,1
0,0,0.0799999999999983,0.06700000000000728,0.1349999999999909,0.055999999999997385,0,0,1,0.0,0.0,13057,1,67.95,70.24833333333333,1017.4333333333334,6.066666666666666,1.0,5.0,1,0,1
1,1,0.30299999999999727,0.06399999999999295,0.1950000000000074,0.06499999999999773,1,0,0,1.0,1.0,9109,0,77.51666666666667,33.19,1018.6833333333334,3.533333333333333,1.0,2.0,0,0,0
0,0,0.32399999999999807,0.06499999999999773,0.030000000000001137,0.008000000000009777,0,0,1,1.0,1.0,9123,0,84.3,44.36000000000001,1020.1,12.200000000000001,1.0,3.0,1,1,0
0,0,0.046999999999997044,0.22700000000000387,0.17899999999998784,0.8659999999999997,0,0,1,0.0,0.0,11302,1,62.76666666666667,79.70666666666666,1006.1,7.933333333333334,4.0,1.0,1,1,0
