@relation dataset_scaled

@attribute finished_first_q1 numeric
@attribute finished_first_q2 numeric
@attribute dif_seconds_quali_first_second numeric
@attribute dif_seconds_quali_second_third numeric
@attribute dif_seconds_quali_third_fourth numeric
@attribute dif_seconds_qualif_fourth_fifth numeric
@attribute isAmericas numeric
@attribute isAustralia numeric
@attribute isEurope numeric
@attribute is_reigning_constructor_champion numeric
@attribute is_reigning_driver_champion numeric
@attribute driverAge numeric
@attribute hadRain numeric
@attribute avg_temp numeric
@attribute avg_humidity numeric
@attribute avg_pressure numeric
@attribute avg_wind_speed numeric
@attribute finishedFirst {n,y}

@data
-0.880771,1.074436,-0.432934,0.449302,1.830247,-0.8519,0,0,0,-0.741798,-0.741798,-1.507851,-0.453609,1.615641,-1.411447,-0.386527,-0.256225,n
1.135369,1.074436,-0.536161,-0.549865,1.63109,-0.19669,0,0,0,-0.741798,-0.741798,-1.498346,-0.453609,0.202361,-0.49118,-0.967027,1.08729,n
-0.880771,-0.930721,4.542617,-0.412049,-0.311793,-0.552782,0,0,0,-0.741798,-0.741798,1.196129,-0.453609,1.636341,0.748405,-1.366121,-0.016911,n
-0.880771,-0.930721,0.017136,-0.449948,-0.820749,-0.699967,0,0,0,-0.741798,-0.741798,-1.48409,-0.453609,-0.706579,1.107515,0.348994,1.708666,n
1.135369,1.074436,-0.577452,1.696537,-0.38703,-0.709463,0,0,0,-0.741798,-0.741798,1.21989,-0.453609,-0.81949,0.309715,-1.537632,-0.063095,y
-0.880771,-0.930721,0.198816,-0.443057,-0.617166,-0.258412,0,0,0,-0.741798,-0.741798,1.224642,-0.453609,-0.764916,0.100151,-1.105556,0.58767,y
-0.880771,-0.930721,-0.445321,0.314931,-0.772066,-0.605009,0,0,0,-0.741798,-0.741798,1.234146,-0.453609,0.87795,-0.737992,-0.149049,-0.596302,n
1.135369,1.074436,0.09146,-0.649782,-0.79862,-0.562278,0,0,0,-0.741798,-0.741798,-0.830328,-0.453609,-0.00088,0.088435,-0.191927,-1.016151,y
1.135369,1.074436,-0.705454,0.246023,-0.395881,-0.718959,0,0,0,-0.741798,-0.741798,-1.436568,-0.453609,1.147057,-1.849806,0.431451,-0.067293,y
1.135369,-0.930721,-0.424676,1.489813,-0.289664,-0.638244,0,0,0,-0.741798,-0.741798,-1.427064,-0.453609,-0.219176,-0.842221,0.002672,0.184616,n
-0.880771,-0.930721,-1.006877,0.900649,-0.612741,-0.586018,0,0,0,-0.741798,-0.741798,-1.41756,-0.453609,-0.655768,0.100925,0.49082,0.176219,n
1.135369,-0.930721,0.68192,1.954942,0.657436,-0.168202,0,0,0,-0.741798,-0.741798,-1.412807,-0.453609,1.075546,-0.336218,0.250045,-0.474546,n
-0.880771,-0.930721,-0.664163,0.004845,-0.745512,-0.590765,0,0,0,-0.741798,-0.741798,1.295924,-0.453609,-2.174432,1.364495,-0.020416,0.902557,n
-0.880771,1.074436,-0.511387,-0.091627,-0.245407,-0.063748,0,0,0,-0.741798,-0.741798,0.085481,-0.453609,0.078158,-0.46819,0.596366,-1.251266,y
1.135369,-0.930721,-0.738487,-0.41894,0.785781,-0.809169,0,0,0,-0.741798,-0.741798,0.094985,-0.453609,1.256205,0.969022,-1.065976,-1.839054,y
1.135369,1.074436,-0.734358,0.277031,-0.590612,-0.391354,0,0,0,-0.741798,-0.741798,-1.365286,2.204541,0.232471,0.1689,-1.29026,0.377746,y
-0.880771,-0.930721,-0.709583,-0.443057,0.445002,1.279908,0,0,0,-0.741798,-0.741798,-1.355782,-0.453609,-0.827018,2.1508,-0.614109,-1.242869,n
-0.880771,-0.930721,3.316278,-0.405158,-0.378179,0.183143,0,0,0,-0.741798,-0.741798,-1.378185,-0.453609,0.328446,-0.337324,-0.027012,-0.373783,n
-0.880771,1.074436,-0.887134,0.452747,-0.727809,-0.481564,0,0,0,-0.741798,-0.741798,-1.341525,-0.453609,1.101892,-0.098028,-0.340351,0.545686,y
1.135369,1.074436,2.197295,-0.50852,0.834464,-0.040009,0,0,0,1.348076,1.348076,-1.251234,-0.453609,-1.195863,0.545695,2.199338,-0.126072,y
-0.880771,-0.930721,-0.58571,-0.105408,-0.772066,1.892388,0,0,0,1.348076,1.348076,-1.24173,2.204541,1.024736,1.687572,-0.940641,-1.121113,y
-0.880771,-0.930721,1.937162,-0.667009,0.051115,1.165958,0,0,0,1.348076,1.348076,-1.236978,-0.453609,-0.796908,-1.520097,-1.343033,-0.025308,n
1.135369,1.074436,0.657145,-0.398267,-0.772066,0.249613,0,0,0,1.348076,1.348076,-1.222721,-0.453609,-1.527071,-0.417236,0.41496,1.11668,y
-0.880771,-0.930721,-0.189318,1.875698,-0.851729,-0.813917,0,0,0,-0.741798,-0.741798,1.476506,-0.453609,0.490286,-1.619684,1.087812,-0.277218,n
-0.880771,1.074436,0.805792,-0.735917,1.18852,-0.021017,0,0,0,1.348076,1.348076,-1.208465,-0.453609,-0.232349,0.758574,0.837142,-0.730654,y
-0.880771,-0.930721,-0.251254,-0.749698,0.073243,-0.320135,0,0,0,1.348076,1.348076,-1.19896,2.204541,-1.436742,2.302115,-1.131942,-1.024548,n
-0.880771,1.074436,-0.238867,-0.064063,-0.537504,-0.58127,0,0,0,1.348076,1.348076,-1.189456,-0.453609,1.26185,-0.94645,1.206551,0.289578,y
1.135369,-0.930721,-0.883005,-0.518856,1.825821,2.709027,0,0,0,-0.741798,-0.741798,1.509771,-0.453609,-0.71787,0.039471,0.527102,-0.953174,n
-0.880771,-0.930721,-0.788036,-0.529193,0.135203,1.256169,0,0,0,-0.741798,-0.741798,1.519276,2.204541,-2.240297,2.135105,-0.8252,0.650648,n
-0.880771,-0.930721,-0.342094,-0.653227,0.577773,-0.894631,0,0,0,1.348076,1.348076,-1.165695,2.204541,-1.190217,1.429265,-0.653689,0.638052,n
-0.880771,-0.930721,0.76863,1.414014,3.029612,0.439529,0,0,0,1.348076,1.348076,-1.146686,-0.453609,-1.905326,0.554869,0.771176,0.83958,y
-0.880771,1.074436,0.842954,-0.632555,-0.581761,-0.343875,0,0,0,1.348076,1.348076,-1.137182,-0.453609,1.015326,-0.235305,0.217062,-1.221877,y
1.135369,1.074436,0.434174,-0.563647,-0.842877,-0.657236,0,0,0,1.348076,1.348076,-1.127678,-0.453609,1.290078,1.25684,-0.990115,-1.011953,y
-0.880771,-0.930721,-0.977974,-0.322468,-0.037399,-0.576522,0,0,0,1.348076,1.348076,-1.118173,-0.453609,-0.262459,-0.603367,1.668313,-0.978365,n
1.135369,1.074436,-0.098478,-0.522302,0.648584,0.757639,0,0,0,-0.741798,-0.741798,-0.497677,-0.453609,-0.813845,-0.053927,-0.455791,1.011718,n
1.135369,1.074436,0.207074,-0.694572,-0.816323,1.080496,0,0,0,1.348076,1.348076,-1.103917,-0.453609,1.143293,-1.653174,-0.84499,-0.705463,y
-0.880771,-0.930721,-0.432934,-0.780707,0.139629,-0.016269,0,0,0,1.348076,1.348076,-1.094413,-0.453609,0.537333,0.168237,-0.191927,-0.445157,n
-0.880771,1.074436,-0.267771,-0.177762,0.006858,-0.438833,0,0,0,1.348076,1.348076,-1.084908,-0.453609,0.213652,0.59488,0.197272,0.025073,n
-0.880771,-0.930721,-0.387514,-0.026164,-0.714532,0.52974,0,0,0,-0.741798,-0.741798,-0.39313,-0.453609,-0.646359,0.388522,1.688102,0.759808,n
-0.880771,-0.930721,-0.399901,-0.732471,-0.555207,-0.96585,0,0,0,-0.741798,-0.741798,-0.388377,-0.453609,0.928761,1.890283,-1.108854,-0.294011,n
-0.880771,1.074436,1.070054,-0.587764,-0.453415,-0.424589,0,0,0,-0.741798,-0.741798,-0.490209,-0.453609,-0.731043,-0.083106,-0.742743,-0.999357,y
-0.880771,-0.930721,-0.610485,-0.408603,-0.537504,-0.44358,0,0,0,1.348076,1.348076,-0.985113,-0.453609,0.740574,-1.344466,-1.158328,1.08729,y
-0.880771,1.074436,1.371477,-0.753144,-0.32507,-0.666732,0,0,0,-0.741798,-0.741798,-0.396524,2.204541,-0.155193,0.611238,0.764579,0.188814,y
-0.880771,-0.930721,-0.684809,-0.580874,-0.267536,-0.699967,0,0,0,-0.741798,-0.741798,1.728371,2.204541,-0.638832,0.906794,0.579874,-0.701265,y
1.135369,1.074436,0.235978,-0.59121,-0.001994,-0.657236,0,0,0,1.348076,1.348076,-0.951848,-0.453609,0.441358,-1.550824,0.827247,-1.339434,n
-0.880771,-0.930721,0.322689,-0.587764,-0.732235,-0.927867,0,0,0,1.348076,1.348076,-0.942344,-0.453609,1.207276,-0.810057,1.107602,0.843778,n
-0.880771,-0.930721,-0.821069,-0.029609,-0.072805,3.145834,0,0,0,-0.741798,-0.741798,0.536936,2.204541,-1.224091,1.534047,-1.662968,-0.231034,n
1.135369,-0.930721,0.657145,0.807623,3.396946,3.981465,0,0,0,-0.741798,-0.741798,0.546441,-0.453609,-0.791262,-0.71257,2.611626,-0.722257,y
1.135369,1.074436,0.690178,-0.639445,-0.125913,-0.267908,0,0,0,-0.741798,-0.741798,-0.302838,2.204541,1.542248,-0.51627,-1.003308,-0.948975,y
-0.880771,1.074436,0.215333,-0.735917,0.515813,-0.899379,0,0,0,-0.741798,-0.741798,0.95309,-0.453609,-1.081069,-0.352356,1.991546,-0.705463,y
1.135369,-0.930721,-0.507258,-0.41894,-0.612741,0.154655,0,0,0,-0.741798,-0.741798,-0.274325,-0.453609,0.924997,-0.788504,0.64584,-1.394015,y
-0.880771,1.074436,0.809921,-0.46373,-0.714532,0.349319,0,0,0,-0.741798,-0.741798,-0.264821,-0.453609,1.220449,1.246892,-1.069274,-1.053937,n
-0.880771,1.074436,0.021266,-0.122635,0.949532,-0.025765,0,0,0,1.348076,1.348076,-0.871061,-0.453609,0.200479,-0.455148,0.035655,0.109043,y
-0.880771,-0.930721,-0.709583,-0.284569,-0.577335,-0.533791,0,0,0,-0.741798,-0.741798,1.823414,-0.453609,-0.401717,0.804333,0.698613,0.348357,n
1.135369,1.074436,-0.833456,-0.064063,-0.35605,-0.424589,0,0,0,1.348076,1.348076,-0.856805,-0.453609,0.930642,-1.576467,-0.091659,-1.049739,y
1.135369,1.074436,0.421787,-0.484402,-0.187873,-0.804421,0,0,0,-0.741798,-0.741798,-0.236308,-0.453609,1.354062,-0.245695,-0.442598,1.003321,n
1.135369,1.074436,-0.565065,0.594008,0.962809,-0.391354,0,0,0,1.348076,1.348076,-0.842548,-0.453609,-0.254931,-1.08638,1.747472,0.130036,n
1.135369,-0.930721,-0.788036,-0.577428,-0.072805,0.111924,0,0,0,-0.741798,-0.741798,-0.222052,-0.453609,-0.68776,1.332773,0.517207,0.801793,n
-0.880771,-0.930721,0.719081,0.084089,0.918552,-0.951606,0,0,0,1.348076,1.348076,-0.761761,-0.453609,-1.495079,-0.20502,1.793648,1.801033,n
-0.880771,-0.930721,2.754722,-0.329359,3.436777,1.621757,0,0,0,1.348076,1.348076,-0.757009,2.204541,1.497083,0.899609,-1.573914,-0.831418,y
1.135369,1.074436,0.128622,-0.71869,-0.54193,-0.624001,0,0,0,-0.741798,-0.741798,-0.127009,-0.453609,-0.145783,-0.842553,-0.881271,1.922789,n
-0.880771,-0.930721,0.033653,-0.525747,-0.444564,0.534487,0,0,0,-0.741798,-0.741798,-0.238345,-0.453609,1.115065,-0.947666,-2.157712,2.930426,n
-0.880771,-0.930721,0.033653,-0.529193,-0.320644,-0.771186,0,0,0,-0.741798,-0.741798,-0.224088,-0.453609,-0.996386,0.218417,1.196656,0.046066,n
-0.880771,-0.930721,-0.639389,-0.766925,0.02456,2.077556,0,0,0,-0.741798,-0.741798,-0.214584,-0.453609,-1.257965,-0.276975,-0.356842,0.088051,y
1.135369,-0.930721,-0.655905,0.514764,-0.373753,-0.016269,0,0,0,1.348076,1.348076,-0.704735,-0.453609,-0.204121,-0.280512,0.692017,-0.529127,y
1.135369,-0.930721,0.851212,-0.288014,-0.825174,1.484068,0,0,0,-0.741798,-0.741798,-0.074735,-0.453609,-0.539093,0.571006,1.206551,0.835381,n
-0.880771,-0.930721,-0.58984,-0.443057,0.391894,-0.64774,0,0,0,-0.741798,-0.741798,-0.069983,-0.453609,0.228707,-0.592093,2.634714,0.822786,n
-0.880771,-0.930721,-0.85823,-0.229443,-0.311793,-0.628749,0,0,0,-0.741798,-0.741798,-0.055726,-0.453609,2.47377,-2.09286,-0.056697,0.121639,y
1.135369,-0.930721,-0.238867,-0.38104,3.233195,-0.58127,0,0,0,-0.741798,-0.741798,-0.036717,-0.453609,-1.45556,1.408265,-0.396422,-1.049739,n
1.135369,1.074436,-0.13564,-0.477511,-0.568484,-0.918371,0,0,0,1.348076,1.348076,-0.642957,2.204541,-0.055454,1.1546,0.764579,-0.000118,y
-0.880771,1.074436,-0.639389,-0.377595,-0.44899,-0.481564,0,0,0,1.348076,1.348076,-0.633453,-0.453609,1.293842,0.903699,-1.277067,-0.008514,y
-0.880771,1.074436,-0.114994,-0.660118,-0.568484,-0.26316,0,0,0,1.348076,1.348076,-0.623949,-0.453609,0.467704,1.092925,0.939389,-0.197446,y
-0.880771,-0.930721,-0.296674,-0.24667,-0.369327,-0.904127,0,0,0,-0.741798,-0.741798,2.070526,-0.453609,0.032994,-1.034321,0.787667,0.041867,n
-0.880771,1.074436,2.089939,-0.570537,-0.395881,-0.234673,0,0,0,1.348076,1.348076,-0.609692,-0.453609,1.105656,-1.167177,-0.943939,-0.739051,y
-0.880771,-0.930721,-0.527903,0.373503,-0.502098,-0.771186,0,0,0,-0.741798,-0.741798,2.084783,-0.453609,1.826409,-0.781983,-0.511862,-0.239431,n
-0.880771,1.074436,-0.58984,1.648301,-0.240982,-0.733203,0,0,0,1.348076,1.348076,-0.595436,-0.453609,1.239268,-0.070838,-1.009905,-0.789433,y
-0.880771,1.074436,1.557286,0.693925,-0.718958,-0.46732,0,0,0,1.348076,1.348076,-0.590684,-0.453609,-0.475109,1.537695,0.695315,0.600266,y
-0.880771,-0.930721,0.293785,-0.649782,4.224552,-0.614505,0,0,0,-0.741798,-0.741798,0.101095,2.204541,-1.04155,-0.889417,-1.564019,1.729659,n
-0.880771,1.074436,-0.788036,1.131491,-0.311793,0.771883,0,0,0,-0.741798,-0.741798,0.1106,-0.453609,1.773717,0.445334,-1.695951,-0.344393,y
-0.880771,1.074436,0.13688,1.210735,0.002432,-0.495807,0,0,0,-0.741798,-0.741798,-0.000737,-0.453609,0.166606,-1.416642,0.566681,1.335001,n
1.135369,1.074436,1.441672,0.928212,-0.055102,1.379614,0,0,0,-0.741798,-0.741798,0.124856,2.204541,-1.367113,0.789522,0.358889,-0.02111,y
-0.880771,-0.930721,-0.321449,2.237465,0.670713,0.591462,0,0,0,-0.741798,-0.741798,0.139112,-0.453609,-0.117555,-0.121349,0.316011,0.633854,y
1.135369,-0.930721,-0.771519,0.345939,-0.143616,-0.305891,0,0,0,-0.741798,-0.741798,0.032528,-0.453609,-0.73857,0.143147,0.471031,-0.684471,y
-0.880771,-0.930721,-0.688938,1.238298,-0.856154,-0.832909,0,0,0,-0.741798,-0.741798,0.042033,-0.453609,0.774448,-1.196799,-0.607513,-0.49134,n
-0.880771,-0.930721,-0.655905,-0.474066,0.644159,-0.106479,0,0,0,-0.741798,-0.741798,1.08615,-0.453609,0.375493,-1.581662,0.170886,-0.915387,n
1.135369,1.074436,5.673987,1.992841,-0.29409,-0.548034,0,0,0,-0.741798,-0.741798,0.061041,-0.453609,-1.013322,-0.319639,-1.982903,0.029272,n
1.135369,1.074436,-0.110865,0.287368,-0.26311,-0.685724,0,0,0,-0.741798,-0.741798,0.070546,-0.453609,0.305864,0.395485,-0.732848,-0.772639,y
