algorithm,variable_method,hyper_parameters,cv_min_accuracy,cv_max_accuracy,cv_mean_accuracy,cv_min_recall,cv_max_recall,cv_mean_recall,cv_min_precision,cv_max_precision,cv_mean_precision,cv_min_f1,cv_max_f1,cv_mean_f1,cv_mean_tps,cv_mean_tns,cv_mean_fps,cv_mean_fns,cv_mean_auc,cv_min_auc,cv_max_auc
K Means,all_features,{'n_neighbors': 14},0.3728813559322034,0.3728813559322034,0.3728813559322034,0.8888888888888888,0.8888888888888888,0.6157430383236834,0.39215686274509803,0.5517241379310345,0.4855965498967527,0.37209302325581395,0.64,0.5229974472165049,17.4,11.2,19.0,11.0,0.49138851553166074,0.34615384615384615,0.5839120370370371
K Means,univariate_filter,{'n_neighbors': 11},0.5254237288135594,0.5254237288135594,0.5254237288135594,0.6923076923076923,0.6923076923076923,0.5686810725117176,0.4642857142857143,0.7037037037037037,0.5687645502645503,0.46153846153846156,0.6551724137931034,0.5663570475583823,16.2,18.0,12.2,12.2,0.6261236486034873,0.5466200466200466,0.7487980769230769
K Means,multivariate,{'n_neighbors': 9},0.5084745762711864,0.5084745762711864,0.5084745762711864,0.6153846153846154,0.6153846153846154,0.5707109870416323,0.5483870967741935,0.6333333333333333,0.5822472199246393,0.5396825396825397,0.6229508196721312,0.5762928575905051,16.2,18.6,11.6,12.2,0.6217317404817405,0.5376157407407407,0.6851851851851851
K Means,wrapper,{'n_neighbors': 8},0.603448275862069,0.603448275862069,0.603448275862069,0.6774193548387096,0.6774193548387096,0.6328485433324142,0.6153846153846154,0.6666666666666666,0.6337858220211161,0.6037735849056604,0.6538461538461539,0.6328638981225713,18.0,19.8,10.4,10.4,0.6629440079036855,0.6379928315412186,0.7051282051282052
SVC,all_features,"{'C': 4, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.423728813559322,0.423728813559322,0.423728813559322,0.8888888888888888,0.8888888888888888,0.5116487455197133,0.42592592592592593,0.6153846153846154,0.5456534126099344,0.1935483870967742,0.6575342465753424,0.4526239341418307,14.2,16.2,14.0,14.2,0.5664710979731141,0.47415865384615385,0.6261574074074074
SVC,univariate_filter,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.559322033898305,0.559322033898305,0.559322033898305,0.8076923076923077,0.8076923076923077,0.6488862466685047,0.52,0.7142857142857143,0.5781071428571429,0.5,0.6779661016949152,0.6054804612504133,18.4,16.6,13.6,10.0,0.615821260579325,0.5601851851851851,0.704326923076923
SVC,multivariate,"{'C': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.5254237288135594,0.5254237288135594,0.5254237288135594,0.7419354838709677,0.7419354838709677,0.6216242762613731,0.5769230769230769,0.7272727272727273,0.6269152830443153,0.5172413793103449,0.696969696969697,0.6210681966049565,17.6,19.6,10.6,10.8,0.6690544297399137,0.5381944444444445,0.7307692307692307
SVC,wrapper,"{'C': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.5932203389830508,0.5932203389830508,0.5932203389830508,0.7692307692307693,0.7692307692307693,0.616746507673927,0.56,0.7916666666666666,0.6408787878787878,0.5384615384615384,0.6785714285714286,0.6218569566027193,17.4,20.2,10.0,11.0,0.6518387451855194,0.5300925925925926,0.7424242424242424
Decision Tree,all_features,"{'criterion': 'entropy', 'max_depth': 7, 'max_features': 5, 'min_samples_split': 4}",0.4745762711864407,0.4745762711864407,0.4745762711864407,0.8076923076923077,0.8076923076923077,0.6026376252182704,0.47058823529411764,0.7307692307692307,0.5749991311661141,0.5079365079365079,0.6666666666666666,0.5797077348106299,17.0,17.0,13.2,11.4,0.6317521785263721,0.5289351851851852,0.7246117084826762
Decision Tree,univariate_filter,"{'criterion': 'entropy', 'max_depth': 2, 'max_features': 1, 'min_samples_split': 9}",0.4745762711864407,0.4745762711864407,0.4745762711864407,0.7307692307692307,0.7307692307692307,0.6206219557026008,0.5,0.6333333333333333,0.5527494026284349,0.4745762711864407,0.631578947368421,0.5798254449335343,17.4,16.0,14.2,11.0,0.58668048088411,0.46354166666666663,0.6856971153846154
