algorithm,variable_method,hyper_parameters,cv_min_accuracy,cv_max_accuracy,cv_mean_accuracy,cv_min_recall,cv_max_recall,cv_mean_recall,cv_min_precision,cv_max_precision,cv_mean_precision,cv_min_f1,cv_max_f1,cv_mean_f1,cv_mean_tps,cv_mean_tns,cv_mean_fps,cv_mean_fns,cv_mean_auc,cv_min_auc,cv_max_auc
K Means,all_features,{'n_neighbors': 7},0.3898305084745763,0.3898305084745763,0.3898305084745763,0.7692307692307693,0.7692307692307693,0.5476110881352817,0.4,0.7222222222222222,0.5333971471471471,0.375,0.59375,0.5124330713146502,15.2,14.8,15.4,13.2,0.5369369616345423,0.4085081585081585,0.6225961538461537
K Means,univariate_filter,{'n_neighbors': 12},0.6949152542372882,0.6949152542372882,0.6949152542372882,0.8461538461538461,0.8461538461538461,0.7593919446742027,0.71875,0.8333333333333334,0.785103767560664,0.7142857142857143,0.8301886792452831,0.7695076238042386,21.4,24.2,6.0,7.0,0.826142655880559,0.7580645161290323,0.8857808857808858
K Means,multivariate,{'n_neighbors': 13},0.711864406779661,0.711864406779661,0.711864406779661,0.8888888888888888,0.8888888888888888,0.7598962641301351,0.76,0.8148148148148148,0.7868956897343994,0.711864406779661,0.8301886792452831,0.770315887480068,21.4,24.4,5.8,7.0,0.8501347219089155,0.7801672640382318,0.9098557692307693
K Means,wrapper,{'n_neighbors': 13},0.7627118644067796,0.7627118644067796,0.7627118644067796,0.9230769230769231,0.9230769230769231,0.8003813987684956,0.7096774193548387,0.8888888888888888,0.8179120194127207,0.7719298245614035,0.9056603773584906,0.8062889534512288,22.6,25.0,5.2,5.8,0.8321738894319541,0.7538829151732378,0.9278846153846154
SVC,all_features,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.4576271186440678,0.4576271186440678,0.4576271186440678,0.038461538461538464,0.038461538461538464,0.0150997150997151,,,,0.0,0.07407407407407407,0.0291005291005291,0.4,30.2,0.0,28.0,0.5051330352741643,0.4207175925925926,0.5717592592592593
SVC,univariate_filter,"{'C': 0.2, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.7627118644067796,0.7627118644067796,0.7627118644067796,0.9230769230769231,0.9230769230769231,0.807788806175903,0.7096774193548387,0.8888888888888888,0.8119989759344598,0.7719298245614035,0.9056603773584906,0.8078274149896902,22.8,24.8,5.4,5.6,0.8644312228989648,0.7847222222222222,0.920673076923077
SVC,multivariate,"{'C': 2, 'gamma': 'auto', 'kernel': 'rbf'}",0.7288135593220338,0.7288135593220338,0.7288135593220338,0.8461538461538461,0.8461538461538461,0.7985709034096131,0.65625,0.88,0.7968367202874989,0.7241379310344828,0.8627450980392157,0.7957952940447487,22.6,24.2,6.0,5.8,0.8607086946804688,0.8243727598566308,0.905048076923077
SVC,wrapper,"{'C': 2, 'gamma': 'scale', 'kernel': 'rbf'}",0.7288135593220338,0.7288135593220338,0.7288135593220338,0.9230769230769231,0.9230769230769231,0.8293401341788439,0.71875,0.8888888888888888,0.8062757883878573,0.75,0.9056603773584906,0.815790500975927,23.4,24.4,5.8,5.0,0.8539524170572559,0.7511574074074073,0.9447115384615384
RIPPER,all_features,"{'k': 4, 'n_discretize_bins': 6, 'prune_size': 0.4}",0.711864406779661,0.711864406779661,0.711864406779661,0.8846153846153846,0.8846153846153846,0.7619916597739178,0.6470588235294118,0.8846153846153846,0.7898903971845148,0.711864406779661,0.8846153846153846,0.7703582293412803,21.4,24.2,6.0,7.0,0.7895424468005112,0.7191142191142191,0.8954326923076922
RIPPER,univariate_filter,"{'k': 8, 'n_discretize_bins': 12, 'prune_size': 0.5}",0.7457627118644068,0.7457627118644068,0.7457627118644068,0.90625,0.90625,0.7775003446374413,0.7073170731707317,0.8888888888888888,0.793462390568606,0.7272727272727273,0.8076923076923077,0.7762152848841593,22.2,23.8,6.4,6.2,0.7967868955268148,0.7152777777777778,0.9104567307692307
RIPPER,multivariate,"{'k': 6, 'n_discretize_bins': 6, 'prune_size': 0.2}",0.7288135593220338,0.7288135593220338,0.7288135593220338,0.9230769230769231,0.9230769230769231,0.7729660646999357,0.6666666666666666,0.8076923076923077,0.7396877707222534,0.7169811320754716,0.8135593220338984,0.7509628506723198,21.8,22.4,7.8,6.6,0.7488861683418137,0.7054958183990443,0.8245192307692308
RIPPER,wrapper,"{'k': 1, 'n_discretize_bins': 5, 'prune_size': 0.4}",0.7627118644067796,0.7627118644067796,0.7627118644067796,0.9230769230769231,0.9230769230769231,0.807788806175903,0.7333333333333333,0.8888888888888888,0.8167301587301588,0.7741935483870968,0.9056603773584906,0.8105843072202668,22.8,25.0,5.2,5.6,0.8150565048750533,0.7627314814814814,0.9146634615384617
Decision Tree,all_features,"{'criterion': 'gini', 'max_depth': 2, 'max_features': 12, 'min_samples_split': 9}",0.5862068965517241,0.5862068965517241,0.5862068965517241,0.9230769230769231,0.9230769230769231,0.7642404190791288,0.5853658536585366,0.8888888888888888,0.7646053344743973,0.6274509803921569,0.9056603773584906,0.7506466087948057,21.4,22.6,7.6,7.0,0.7263774009741751,0.41696535244922334,0.90625
Decision Tree,univariate_filter,"{'criterion': 'entropy', 'max_depth': 2, 'max_features': 5, 'min_samples_split': 2}",0.5862068965517241,0.5862068965517241,0.5862068965517241,0.9230769230769231,0.9230769230769231,0.8094327267714364,0.5853658536585366,0.8888888888888888,0.7498692040875785,0.6666666666666666,0.9056603773584906,0.7735994987587935,22.8,21.8,8.4,5.6,0.7326800104017845,0.41696535244922334,0.9146634615384615
Decision Tree,multivariate,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 4, 'min_samples_split': 6}",0.7457627118644068,0.7457627118644068,0.7457627118644068,0.8461538461538461,0.8461538461538461,0.7906769828140796,0.6896551724137931,0.88,0.803697517999242,0.7272727272727273,0.8627450980392157,0.7962235043012758,22.4,24.6,5.6,6.0,0.8436243378783702,0.7325174825174825,0.9182692307692307
Decision Tree,wrapper,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 3, 'min_samples_split': 4}",0.6724137931034483,0.6724137931034483,0.6724137931034483,0.8846153846153846,0.8846153846153846,0.7137906672180865,0.696969696969697,0.9375,0.8056893939393939,0.6415094339622641,0.8076923076923077,0.7448796945778877,20.2,24.8,5.4,8.2,0.7765382317801672,0.7251157407407407,0.8333333333333334
NN,all_features,"{'batch_size': 4, 'epochs': 100, 'optimizer': <keras.src.optimizers.adam.Adam object at 0x000001F18313D040>, 'verbose': 0}",0.4576271186440678,0.4576271186440678,0.4576271186440678,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,30.2,0.0,28.4,0.5480056980056981,0.4807692307692308,0.7592592592592593
NN,univariate_filter,"{'batch_size': 16, 'epochs': 300, 'optimizer': <keras.src.optimizers.adam.Adam object at 0x000001F1846DFB60>, 'verbose': 0}",0.6206896551724138,0.6206896551724138,0.6206896551724138,0.8076923076923077,0.8076923076923077,0.7144787933094385,0.6206896551724138,0.8,0.6777392587128895,0.6333333333333333,0.7692307692307693,0.6931887321717831,20.2,20.4,9.8,8.2,0.7360274320959805,0.6857825567502986,0.787037037037037
NN,multivariate,"{'batch_size': 64, 'epochs': 200, 'optimizer': <keras.src.optimizers.adam.Adam object at 0x000001F183169760>, 'verbose': 0}",0.7068965517241379,0.7068965517241379,0.7068965517241379,0.8846153846153846,0.8846153846153846,0.7819823545629997,0.71875,0.9130434782608695,0.8216151059085842,0.6909090909090909,0.8846153846153846,0.7965642944374869,22.0,25.2,5.0,6.4,0.8465891336859078,0.7317801672640383,0.9399038461538461
NN,wrapper,"{'batch_size': 16, 'epochs': 50, 'optimizer': <keras.src.optimizers.adam.Adam object at 0x000001F1824EEC30>, 'verbose': 0}",0.46551724137931033,0.46551724137931033,0.46551724137931033,1.0,1.0,0.2,,,,0.0,0.7032967032967034,0.14065934065934066,6.4,24.8,5.4,22.0,0.5237503237503238,0.5,0.6002331002331003
