algorithm,variable_method,hyper_parameters,cv_min_accuracy,cv_max_accuracy,cv_mean_accuracy,cv_min_recall,cv_max_recall,cv_mean_recall,cv_min_precision,cv_max_precision,cv_mean_precision,cv_min_f1,cv_max_f1,cv_mean_f1,cv_mean_tps,cv_mean_tns,cv_mean_fps,cv_mean_fns,cv_mean_auc,cv_min_auc,cv_max_auc
Logistic Regression,all_features,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.711864406779661,0.711864406779661,0.711864406779661,0.9615384615384616,0.9615384615384616,0.8169234215605183,0.71875,0.8928571428571429,0.7973292150007946,0.7301587301587301,0.9259259259259259,0.8047094157438984,23.0,24.2,6.0,5.4,0.8428117245657567,0.7569444444444444,0.9411057692307692
Logistic Regression,univariate_filter,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.7288135593220338,0.7288135593220338,0.7288135593220338,0.9615384615384616,0.9615384615384616,0.802577888061759,0.7096774193548387,0.8928571428571429,0.800045373980858,0.7368421052631579,0.9259259259259259,0.798478032688559,22.6,24.4,5.8,5.8,0.8517965793167406,0.7662037037037037,0.9435096153846153
Logistic Regression,multivariate,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.7457627118644068,0.7457627118644068,0.7457627118644068,0.8846153846153846,0.8846153846153846,0.801538806175903,0.7666666666666667,0.8846153846153846,0.822497789566755,0.7540983606557377,0.8846153846153846,0.8100676790262131,22.6,25.2,5.0,5.8,0.871346608140963,0.7945041816009557,0.950721153846154
Logistic Regression,wrapper,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.7457627118644068,0.7457627118644068,0.7457627118644068,0.9230769230769231,0.9230769230769231,0.8219327267714365,0.71875,0.8888888888888888,0.8098837288345073,0.7619047619047619,0.9056603773584906,0.8136721790462843,23.2,24.6,5.6,5.2,0.8433055743539615,0.7825567502986859,0.9350961538461539
SVC,all_features,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.711864406779661,0.711864406779661,0.711864406779661,0.9615384615384616,0.9615384615384616,0.8027795009649848,0.7333333333333333,0.84,0.786863287250384,0.7301587301587301,0.8928571428571429,0.7924370356573746,22.6,24.0,6.2,5.8,0.8602917617030521,0.7893518518518519,0.9375
SVC,univariate_filter,"{'shrinkage': 0.3, 'solver': 'lsqr'}",0.7288135593220338,0.7288135593220338,0.7288135593220338,0.9615384615384616,0.9615384615384616,0.7887188677511258,0.7096774193548387,0.8928571428571429,0.8110866225873238,0.7272727272727273,0.9259259259259259,0.7950256955520113,22.2,24.8,5.4,6.2,0.859193464838626,0.7905092592592592,0.9399038461538463
SVC,multivariate,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.7413793103448276,0.7413793103448276,0.7413793103448276,0.9615384615384616,0.9615384615384616,0.8090295009649848,0.7333333333333333,0.8928571428571429,0.8173809523809524,0.7457627118644068,0.9259259259259259,0.811025176731284,22.8,25.0,5.2,5.6,0.8753974035224035,0.8148148148148148,0.9483173076923077
SVC,wrapper,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.7627118644067796,0.7627118644067796,0.7627118644067796,0.9230769230769231,0.9230769230769231,0.807788806175903,0.7096774193548387,0.8888888888888888,0.8119989759344598,0.7719298245614035,0.9056603773584906,0.8078274149896902,22.8,24.8,5.4,5.6,0.8488783095637935,0.7837514934289129,0.935096153846154
Linear Discriminant,all_features,{'alpha': 2},0.7068965517241379,0.7068965517241379,0.7068965517241379,0.8846153846153846,0.8846153846153846,0.7667993520816101,0.7666666666666667,0.875,0.8144652014652014,0.7017543859649122,0.8518518518518519,0.7886468058760079,21.6,25.2,5.0,6.8,0.8544960434577369,0.7662037037037037,0.9393028846153846
Linear Discriminant,univariate_filter,{'alpha': 2},0.7241379310344828,0.7241379310344828,0.7241379310344828,0.8846153846153846,0.8846153846153846,0.780540046870692,0.78125,0.8846153846153846,0.8235333253702819,0.7037037037037037,0.8846153846153846,0.7984152421652422,22.0,25.4,4.8,6.4,0.8592244560994562,0.8020833333333334,0.9411057692307693
Linear Discriminant,multivariate,{'alpha': 2},0.7241379310344828,0.7241379310344828,0.7241379310344828,0.9230769230769231,0.9230769230769231,0.7948855803694513,0.7586206896551724,0.8888888888888888,0.8200574712643679,0.7241379310344828,0.9056603773584906,0.8055042537089552,22.4,25.2,5.0,6.0,0.8731103163562841,0.8082437275985663,0.9423076923076923
Linear Discriminant,wrapper,{'alpha': 2},0.7457627118644068,0.7457627118644068,0.7457627118644068,0.9230769230769231,0.9230769230769231,0.7938464984835953,0.7,0.8571428571428571,0.802334975369458,0.75,0.8888888888888888,0.7960681148372174,22.4,24.6,5.6,6.0,0.8606821549865906,0.8177083333333333,0.9332932692307694
XGBoost,all_features,"{'learning_rate': 0.001, 'max_depth': 2, 'max_leaves': 4, 'n_estimators': 150}",0.6896551724137931,0.6896551724137931,0.6896551724137931,0.8461538461538461,0.8461538461538461,0.6885890543148607,0.7096774193548387,0.8888888888888888,0.8132771714231815,0.64,0.8076923076923077,0.7360456385719543,19.4,25.4,4.8,9.0,0.8246054684562749,0.7361111111111112,0.9146634615384615
