algorithm,variable_method,hyper_parameters,cv_min_accuracy,cv_max_accuracy,cv_mean_accuracy,cv_min_recall,cv_max_recall,cv_mean_recall,cv_min_precision,cv_max_precision,cv_mean_precision,cv_min_f1,cv_max_f1,cv_mean_f1,cv_mean_tps,cv_mean_tns,cv_mean_fps,cv_mean_fns,cv_mean_auc,cv_min_auc,cv_max_auc
Logistic Regression,all_features,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.711864406779661,0.711864406779661,0.711864406779661,0.9615384615384616,0.9615384615384616,0.8169234215605183,0.71875,0.8928571428571429,0.7973292150007946,0.7301587301587301,0.9259259259259259,0.8047094157438984,23.0,24.2,6.0,5.4,0.8428117245657567,0.7569444444444444,0.9411057692307692
Logistic Regression,univariate_filter,"{'C': 0.75, 'penalty': 'l1', 'solver': 'liblinear'}",0.7288135593220338,0.7288135593220338,0.7288135593220338,0.9230769230769231,0.9230769230769231,0.807788806175903,0.7333333333333333,0.8888888888888888,0.7946035956380784,0.75,0.9056603773584906,0.8000988319856244,22.8,24.2,6.0,5.6,0.8611063854007404,0.7945041816009558,0.9459134615384615
Logistic Regression,multivariate,"{'C': 0.75, 'penalty': 'l1', 'solver': 'liblinear'}",0.7457627118644068,0.7457627118644068,0.7457627118644068,0.8846153846153846,0.8846153846153846,0.801538806175903,0.7419354838709677,0.9130434782608695,0.8251602486597893,0.7540983606557377,0.8846153846153846,0.8104795911594875,22.6,25.2,5.0,5.8,0.8697286658980208,0.7945041816009557,0.9519230769230769
Logistic Regression,wrapper,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.7627118644067796,0.7627118644067796,0.7627118644067796,0.9230769230769231,0.9230769230769231,0.8283843396746622,0.71875,0.8888888888888888,0.8161944444444444,0.7741935483870968,0.9056603773584906,0.8200643625722597,23.4,24.8,5.4,5.0,0.8237194630339791,0.7347670250896057,0.9302884615384616
SVC,all_features,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.711864406779661,0.711864406779661,0.711864406779661,0.9615384615384616,0.9615384615384616,0.8027795009649848,0.7333333333333333,0.84,0.786863287250384,0.7301587301587301,0.8928571428571429,0.7924370356573746,22.6,24.0,6.2,5.8,0.8602917617030521,0.7893518518518519,0.9375
SVC,univariate_filter,"{'shrinkage': 'auto', 'solver': 'lsqr'}",0.7457627118644068,0.7457627118644068,0.7457627118644068,0.9615384615384616,0.9615384615384616,0.802577888061759,0.7096774193548387,0.8928571428571429,0.8048840836582773,0.75,0.9259259259259259,0.8004426685161541,22.6,24.6,5.6,5.8,0.863013405352115,0.8112305854241337,0.9399038461538463
SVC,multivariate,"{'shrinkage': 0.1, 'solver': 'lsqr'}",0.7241379310344828,0.7241379310344828,0.7241379310344828,0.9230769230769231,0.9230769230769231,0.7960429877768588,0.7777777777777778,0.8888888888888888,0.8365820105820105,0.7241379310344828,0.9056603773584906,0.8145615000917539,22.4,25.8,4.4,6.0,0.8706264203240011,0.7849462365591398,0.953125
SVC,wrapper,"{'shrinkage': 0.1, 'solver': 'lsqr'}",0.7931034482758621,0.7931034482758621,0.7931034482758621,0.9230769230769231,0.9230769230769231,0.8216478264865362,0.7333333333333333,0.8888888888888888,0.8306210264830953,0.7857142857142857,0.9056603773584906,0.8243126684636118,23.2,25.4,4.8,5.2,0.8541773190966738,0.7574671445639187,0.9495192307692307
Linear Discriminant,all_features,{'alpha': 1},0.7068965517241379,0.7068965517241379,0.7068965517241379,0.8846153846153846,0.8846153846153846,0.7667993520816101,0.7666666666666667,0.875,0.8144652014652014,0.7017543859649122,0.8518518518518519,0.7886468058760079,21.6,25.2,5.0,6.8,0.8552189988177892,0.7650462962962963,0.9417067307692307
Linear Discriminant,univariate_filter,{'alpha': 2},0.6896551724137931,0.6896551724137931,0.6896551724137931,0.8846153846153846,0.8846153846153846,0.7804567594890175,0.7407407407407407,0.8846153846153846,0.804696259534969,0.6896551724137931,0.8846153846153846,0.7917633656735804,22.0,24.8,5.4,6.4,0.8588121966146159,0.7891278375149342,0.9387019230769231
Linear Discriminant,multivariate,{'alpha': 2},0.7241379310344828,0.7241379310344828,0.7241379310344828,0.9230769230769231,0.9230769230769231,0.7948855803694513,0.7586206896551724,0.8888888888888888,0.8200574712643679,0.7241379310344828,0.9056603773584906,0.8055042537089552,22.4,25.2,5.0,6.0,0.8731103163562841,0.8082437275985663,0.9423076923076923
Linear Discriminant,wrapper,{'alpha': 2},0.7457627118644068,0.7457627118644068,0.7457627118644068,0.9230769230769231,0.9230769230769231,0.7790316836687806,0.6774193548387096,0.8888888888888888,0.808895325413679,0.7368421052631579,0.9056603773584906,0.7903544128616342,22.0,24.8,5.4,6.4,0.8551374476777702,0.8153935185185185,0.9338942307692307
